Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
RTX,2023-09-30,13464.0,714.0,-984.0,-1399.0,-10.390671420083185,162443.0,91197.0,1448.1,69596.0,48.06,1.31,2025-12-30
RTX,2023-06-30,18315.0,3797.0,1327.0,1433.0,7.824187824187824,162161.0,88074.0,1468.7,72480.0,49.35,1.22,2025-12-30
RTX,2023-03-31,17214.0,3569.0,1426.0,1599.0,9.288950853956083,161636.0,87251.0,1474.2,72795.0,49.38,1.2,2025-12-30
RTX,2022-12-31,18093.0,3567.0,1422.0,1462.0,8.080473111147958,158864.0,84650.0,1476.3,72632.0,49.2,1.17,2025-12-30
RTX,2022-09-30,16951.0,3487.0,1387.0,1434.0,8.459677895109433,158225.0,86457.0,1479.3,70187.0,47.45,1.23,2025-12-30
RTX,2022-06-30,16314.0,3458.0,1304.0,1336.0,8.189285276449674,159017.0,86989.0,1489.6,70441.0,47.29,1.23,2025-12-30
RTX,2022-03-31,15716.0,3156.0,1084.0,1086.0,6.9101552557902775,159366.0,85344.0,1497.9,72462.0,48.38,1.18,2025-12-30
RTX,2021-12-31,17042.0,3435.0,686.0,1234.0,7.2409341626569645,161404.0,86705.0,1500.2,73068.0,48.71,1.19,2025-12-30
RTX,2021-09-30,16221.0,3136.0,1393.0,1246.0,7.681400653473893,158772.0,85803.0,1505.9,71308.0,47.35,1.2,2025-12-30
RTX,2021-06-30,15860.0,3206.0,1032.0,1236.0,7.793190416141235,158838.0,86087.0,1513.5,71115.0,46.99,1.21,2025-12-30
RTX,2021-03-31,15237.0,2720.0,753.0,951.0,6.2413860996259105,160608.0,87266.0,1514.1,71710.0,47.36,1.22,2025-12-30
RTX,2020-12-31,16408.0,2209.0,135.0,186.0,1.1335933690882496,162153.0,88269.0,1515.4,72163.0,47.62,1.22,2025-12-30
RTX,2020-09-30,14784.0,1922.0,264.0,8.0,0.05411255411255411,162399.0,92289.0,1514.2,68379.0,45.16,1.35,2025-12-30
RTX,2020-06-30,14088.0,2057.0,-3835.0,-135.0,-0.9582623509369677,161517.0,92590.0,1501.3,67225.0,44.78,1.38,2025-12-30
RTX,2020-03-31,11389.0,2817.0,-83.0,1334.0,11.713056457985775,139572.0,97542.0,1501.3,39411.0,26.25,2.47,2025-12-30
