Date,Open,High,Low,Close,Volume,Symbol,ma_10,ma_30,ma_50,ma_100,ma_200,RSI Options Rate,macd,MACD Signal,fi,fib_0%,fib_23.6%,fib_38.2%,fib_50%,fib_61.8%,fib_76.4%,fib_100%,fib_signal,SentimentScore,Fundamental_Weight,Monthly Return (%),combined_signal,final_trade,Buy Streak,Sell Streak,trade_value,Adj Close
2025-12-24,272.34,275.43,272.25,273.81,0.0,AAPL,273.99,275.2,270.95,254.76,230.2,33.54,0.3,1.45,19.4,274.6,273.41,272.67,272.08,271.49,270.75,269.56,1,,,,57.08,BUY,55,0,50,
2025-12-24,352.21,354.74,351.11,352.98,0.0,ADBE,353.52,336.37,338.13,344.7,363.67,67.78,6.19,4.94,25.95,359.67,357.52,356.2,355.12,354.05,352.73,350.58,1,,,,42.08,HOLD,5,0,0,
2025-12-24,214.95,216.54,213.98,215.04,0.0,AMD,210.64,218.93,229.65,200.94,160.36,49.05,-3.59,-4.25,-72.88,220.17,218.31,217.16,216.22,215.29,214.14,212.28,-1,,,,21.08,HOLD,0,0,0,
2025-12-24,232.13,232.95,231.33,232.38,0.0,AMZN,226.99,228.89,230.07,227.96,216.15,55.52,-0.45,-1.07,-9.11,229.23,227.29,226.08,225.11,224.14,222.93,220.99,0,,,,51.6,BUY,2,0,50,
2025-12-24,131.13,131.5,130.11,130.77,0.0,ANET,128.21,127.62,135.82,138.64,115.2,53.59,-1.09,-2.07,28.04,134.0,132.88,132.19,131.62,131.06,130.37,129.25,0,,,,35.08,HOLD,0,0,0,
2025-12-24,728.0,734.77,721.55,727.5,0.0,APP,700.25,635.72,625.53,584.65,456.57,59.27,30.84,27.32,-12.7,738.01,731.46,727.41,724.13,720.85,716.8,710.25,1,,,,82.08,BUY,7,0,50,
2025-12-24,350.68,352.86,347.14,350.22,0.49,AVGO,348.0,364.38,361.18,342.48,284.98,39.73,-6.46,-2.19,-33.83,413.82,391.87,378.29,367.31,356.34,342.76,320.81,0,,,,26.08,HOLD,0,0,0,
2025-12-24,175.73,177.18,175.37,176.33,0.0,BIIB,173.65,174.46,164.74,152.73,140.47,40.52,2.05,3.07,64.51,177.29,175.23,173.96,172.92,171.89,170.62,168.56,1,,,,63.64,BUY,4,0,50,
2025-12-24,1089.82,1094.33,1084.0,1088.96,0.0,BLK,1079.51,1055.34,1076.53,1102.8,1036.47,57.4,4.67,1.49,60.01,1083.75,1077.54,1073.7,1070.6,1067.5,1063.66,1057.45,1,,,,53.16,BUY,1,0,50,
2025-12-24,582.66,587.13,581.0,583.76,0.0,CAT,585.47,577.01,565.54,505.53,428.25,44.07,5.18,8.69,-28.87,588.71,581.34,576.77,573.09,569.4,564.84,557.46,1,,,,61.08,BUY,3,0,50,
2025-12-24,240.28,240.99,237.14,239.73,0.85,COIN,249.79,261.63,289.05,307.81,284.83,25.95,-12.38,-11.92,-35.46,254.87,251.15,248.85,246.99,245.12,242.82,239.1,0,,,,-28.84,SELL,0,10,-50,
2025-12-24,263.23,266.3,262.55,265.26,0.15,CRM,260.12,246.44,248.14,245.91,256.43,71.72,5.68,4.64,61.66,264.63,262.48,261.14,260.07,258.99,257.65,255.5,0,,,,70.08,BUY,6,0,50,
2025-12-24,80.01,80.94,78.55,78.87,9.6,CRWV,76.7,77.93,96.45,106.29,0.0,44.4,-3.95,-5.43,-7.38,87.31,81.76,78.33,75.55,72.78,69.35,63.8,0,,,,-15.92,HOLD,0,0,0,
2025-12-24,126.8,128.33,125.7,127.18,2.41,CVLT,124.22,123.26,134.5,158.73,164.41,66.55,-1.78,-3.53,32.9,128.77,126.23,124.66,123.39,122.11,120.54,118.0,-1,,,,1.08,HOLD,0,0,0,
2025-12-24,231.93,233.24,230.61,232.06,0.66,DASH,229.31,214.63,227.17,243.2,226.16,60.82,3.47,1.43,69.52,239.0,236.9,235.6,234.55,233.5,232.2,230.1,1,,,,31.6,HOLD,0,0,0,
2025-12-24,48.93,49.68,48.37,49.17,2.24,DOCN,47.17,46.32,44.78,39.66,34.84,58.62,1.0,0.96,-49.89,51.9,50.82,50.15,49.62,49.08,48.41,47.33,1,,,,,HOLD,0,0,0,
2025-12-24,260.46,262.72,259.3,262.33,18.67,FFIV,260.37,246.12,256.81,290.04,285.45,73.26,2.27,0.45,22.93,262.62,260.12,258.58,257.33,256.08,254.54,252.04,1,,,,41.08,HOLD,0,0,0,
2025-12-24,80.53,81.38,80.28,81.18,0.0,FTNT,81.16,81.55,82.69,82.1,91.62,38.15,-0.47,-0.36,46.88,81.83,81.42,81.17,80.97,80.76,80.51,80.1,-1,,,,-8.92,HOLD,0,2,0,
2025-12-24,314.77,315.08,311.92,314.09,0.0,GOOGL,308.11,306.43,291.63,259.67,214.08,47.18,4.57,6.23,-22.72,321.31,315.37,311.69,308.71,305.74,302.06,296.12,1,,,,88.88,BUY,27,0,50,
2025-12-24,34.61,35.04,34.13,34.67,1.79,HIMS,35.79,36.86,40.98,45.95,45.77,21.99,-1.59,-1.59,29.51,36.27,35.76,35.44,35.18,34.93,34.61,34.1,0,,,,-53.36,SELL,0,39,-50,
